Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,367.0,18.0,25.0,367.0,0.0,13.302999999999999,0.0,0.0,40.6452100276947,,,,,,,,,,,,,,,,,,,,,4.954758018575318,4.444465801048143,13.19232337290853,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,377.0,19.0,10.0,377.0,0.0,3.2020000000000004,0.0,0.0,42.02018332481384,,,,,,,,,,,,,,,,,,,,,0.9304340663737479,1.0612940278639784,3.19589155088715,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,398.0,20.0,21.0,398.0,0.0,3.952,0.0,0.0,44.44203019142151,,,,,,,,,,,,,,,,,,,,,0.9694404696332264,1.0874807807012754,3.9355773274651678,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,24.0,1.0,24.0,422.0,0.0,7.153999999999998,0.0,0.0,74.9543023109436,,,,,,,,,,,,,,,,,,,,,1.8173317806890326,2.2147811283833496,7.117501538802264,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,52.0,2.0,28.0,450.0,0.0,8.604999999999995,0.0,0.0,78.40500330924988,,,,,,,,,,,,,,,,,,,,,2.128165024136296,2.5441443728787685,8.553965344668853,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,80.0,3.0,28.0,478.0,0.0,10.403000000000002,0.0,0.0,81.57952117919922,,,,,,,,,,,,,,,,,,,,,2.7973790090814035,3.1594960534471843,10.335008396141863,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,104.0,4.0,24.0,502.0,0.0,13.153000000000002,0.0,0.0,84.28502774238586,,,,,,,,,,,,,,,,,,,,,4.432893946434009,4.3383907900202265,13.05967021550109,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,117.0,5.0,13.0,515.0,0.0,4.0535000000000005,0.0,0.0,85.89126086235046,,,,,,,,,,,,,,,,,,,,,0.9935827397524566,1.2703296155606598,4.0446280524356535,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,131.0,6.0,14.0,529.0,0.0,5.153,0.0,0.0,87.56651139259338,,,,,,,,,,,,,,,,,,,,,1.4426275852135273,1.7687664568861468,5.137941154961974,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,148.0,7.0,17.0,546.0,0.0,5.904,0.0,0.0,89.60492157936096,,,,,,,,,,,,,,,,,,,,,1.6198674774096877,1.9336714997652982,5.8823445974815165,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,162.0,8.0,14.0,560.0,0.0,4.402499999999999,0.0,0.0,91.32012510299683,,,,,,,,,,,,,,,,,,,,,1.2351586186101573,1.3776666710942145,4.389597376716175,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,181.0,9.0,19.0,579.0,0.0,9.003499999999999,0.0,0.0,93.61764335632324,,,,,,,,,,,,,,,,,,,,,2.746156388499528,2.906041473920623,8.960283311930441,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,193.0,10.0,12.0,591.0,0.0,4.6525,0.0,0.0,95.09245729446411,,,,,,,,,,,,,,,,,,,,,1.6031926814881388,1.6963432323173897,4.637899587409554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
